index errVelAzim errVelMagn estVelAzim estVelMagn eventTime losVelAzim losVelMagn losazimRange nUniqAzims rbspLocMlat rbspLocMlt sat filter_lat_range filter_mlt_range
57 28.256540704266307 305.84848963263005 -11.114133014978584 343.8643039517516 "2013-03-16 09:22:00" -11.9 -122.6342 9.72 4 61.354 23.9647 satB 0.5 0.5
65 3.1833055594834243 4491.806698530134 15.296501629552566 7195.495081230417 "2013-03-16 09:24:00" -15.14 -122.6697 6.48 3 61.3929 23.98 satB 0.5 0.5
67 71.89939365282797 3224.412163687285 -2.0454448042719098 1110.6705517076155 "2013-03-16 09:24:00" -15.14 -122.6697 9.719999999999999 4 61.3929 23.98 satB 0.5 1.0
69 5.272423506363216 1948.3011007902087 11.579709000709341 2894.213295855817 "2013-03-16 09:24:00" -11.9 -208.7145 9.72 4 61.3929 23.98 satB 1.0 0.5
81 12.770804960599204 179.73993500375124 13.191816602492205 377.26394130053006 "2013-03-16 09:28:00" -37.82 -135.0419 9.720000000000002 3 58.2377 22.9661 satA 1.0 0.5
83 9.675517980839988 77.53190568600508 3.0520332362255913 291.55142505841144 "2013-03-16 09:28:00" -37.82 -135.0419 19.44 6 58.2377 22.9661 satA 1.0 1.0
85 8.583276107907652 123.84022106083202 15.716274551490745 337.916378782978 "2013-03-16 09:30:00" -37.82 -122.0022 9.720000000000002 3 58.3466 22.9997 satA 0.5 0.5
87 13.16447295789741 48.5697494058531 -5.71024277454782 187.3508802672883 "2013-03-16 09:30:00" -37.82 -122.0022 16.200000000000003 5 58.3466 22.9997 satA 0.5 1.0
89 16.61173375613234 89.61286578750237 1.9140070535558393 219.4063085225907 "2013-03-16 09:30:00" -37.82 -122.0022 9.720000000000002 4 58.3466 22.9997 satA 1.0 0.5
93 5.238595022245548 61.022492965092745 11.781746475503002 299.0504514680514 "2013-03-16 09:32:00" -37.82 -135.8973 6.48 3 58.5264 23.0344 satA 0.5 0.5
96 8.58622984792153 34.768911620536784 -3.38430788254032 189.45008049112647 "2013-03-16 09:32:00" -37.82 -135.8973 9.720000000000002 4 58.5264 23.0344 satA 1.0 0.5
97 1.0075797173162335 32.88016578052221 -11.078026816798923 927.1485273700179 "2013-03-16 09:32:00" -8.66 -332.2375 34.160000000000004 4 61.5706 0.077 satB 1.0 0.5
