estVelAzim estVelMagn eventTime losVelAzim losVelMagn rbspLocMlat rbspLocMlt sat
-77.85 -3626.515982757714 "2013-06-22 06:20:00" 10.78 86.7054 62.9407 21.5244 satB
-74.97 -1016.8672955191089 "2013-06-22 06:22:00" 10.78 75.3585 62.9547 21.552 satB
-75.64 429.6758098634203 "2013-06-22 06:24:00" 4.3 -75.0555 62.9118 21.5717 satB
-77.36 412.81106231595356 "2013-06-22 06:26:00" 4.3 -59.877 62.8408 21.5872 satB
-94.89 -610.5483259856317 "2013-06-22 06:28:00" 4.3 -97.51 62.8546 21.6174 satB
-84.35 3942.963805287067 "2013-06-22 06:30:00" 4.3 -92.8953 62.8298 21.6484 satB
-76.38 845.9502779980942 "2013-06-22 06:32:00" 4.3 -137.0002 62.8022 21.6779 satB
-75.01 819.3709068607751 "2013-06-22 06:34:00" 4.3 -151.9893 62.7982 21.6944 satB
-72.24 829.2831194680894 "2013-06-22 06:36:00" 4.3 -193.0293 62.6721 21.722 satB
-73.57 -684.2823856013467 "2013-06-22 06:38:00" 4.3 143.7886 62.6826 21.752 satB
-75.3 674.7081957432518 "2013-06-22 06:40:00" 1.06 -159.1101 62.6174 21.7774 satB
