date median_asyh peak_potential_model
20130118 29.0 25.0
20130120 30.0 26.0
20130222 25.0 24.0
20130301 23.0 23.0
20130302 26.0 24.0
20130303 23.0 23.0
20130316 39.0 28.0
20130320 33.0 27.0
20130321 60.0 32.0
20130327 28.0 25.0
20130329 45.0 30.0
20130330 60.0 32.0
20130426 46.0 30.0
20130501 38.0 28.0
20130502 41.0 29.0
20130517 20.0 22.0
20130521 15.0 19.0
20130525 42.0 29.0
20130526 41.0 29.0
20130601 123.0 39.0
20130602 36.0 28.0
20130606 27.0 25.0
20130607 80.0 35.0
20130610 35.0 27.0
20130621 22.0 23.0
20130622 22.0 23.0
20130624 17.0 20.0
20130629 91.0 36.0
20130630 29.0 25.0
20130701 21.0 22.0
20130707 46.0 30.0
20130710 45.0 30.0
20130711 43.0 29.0
20130712 21.0 22.0
20130715 48.0 30.0
20130805 33.0 27.0
20130816 64.0 33.0
20130823 22.0 23.0
20130828 49.0 30.0
20130919 19.0 21.0
20131002 76.0 35.0
20131007 10.0 15.0
20131009 59.0 32.0
20131015 48.0 30.0
20131109 56.0 32.0
20131111 32.0 26.0
20131115 12.0 17.0
20131116 33.0 27.0
20131201 21.0 22.0
20131208 43.0 29.0
20131214 24.0 24.0
