date start_time end_time
20130303 0300 0600
20130316 0800 1300
20130327 0530 1000
20130407 0500 0800
20130425 0330 0630
20130426 0730 1030
20130514 0930 1230
20130521 0600 0930
20130523 0200 0500
20130524 0700 1030
20130602 0330 0630
20130610 0130 0830
20130622 0400 0730
20130624 0330 0630
20130706 0030 0330
20130711 0200 1000
20130712 0300 0600
20130726 0000 0600
20130727 0330 0630
20130805 0600 0930
20130822 0130 0430
20130823 0730 1030
20130828 0430 0730
20131017 0530 0830
20141017 1030 1330
