estVelAzim estVelMagn eventTime losVelAzim losVelMagn rbspLocMlat rbspLocMlt sat
-90.0 280.88421138781916 "2013-03-16 08:00:00" -11.9 -57.9195 57.925 22.8277 satB
-90.0 283.35845796539775 "2013-03-16 08:02:00" -11.9 -58.4297 58.0943 22.8707 satB
-90.0 316.6148149438439 "2013-03-16 08:04:00" -11.9 -65.2873 58.2586 22.8959 satB
-90.0 279.5151800102213 "2013-03-16 08:06:00" -11.9 -57.6372 58.3906 22.9246 satB
-90.0 231.7905434572408 "2013-03-16 08:08:00" -15.14 -60.5387 58.5286 22.9671 satB
-90.0 267.7186202298214 "2013-03-16 08:10:00" -11.9 -55.2047 58.6763 23.0007 satB
-90.0 308.59363924938083 "2013-03-16 08:12:00" -11.9 -63.6333 58.809 23.0281 satB
-90.0 484.95894291162466 "2013-03-16 08:14:00" -8.66 -73.0206 58.9329 23.058 satB
-90.0 484.95894291162466 "2013-03-16 08:16:00" -8.66 -73.0206 59.03 23.0898 satB
-90.0 611.3773095428011 "2013-03-16 08:18:00" -8.66 -92.0555 59.1633 23.1151 satB
-90.0 563.4317215762875 "2013-03-16 08:20:00" -8.66 -84.8363 59.2864 23.146 satB
-90.0 458.71611873569356 "2013-03-16 08:22:00" -8.66 -69.0692 59.3978 23.1794 satB
-90.0 427.46966452125804 "2013-03-16 08:24:00" -8.66 -64.3644 59.4901 23.2099 satB
-90.0 458.71611873569356 "2013-03-16 08:26:00" -8.66 -69.0692 59.588 23.2355 satB
-90.0 353.9341019046761 "2013-03-16 08:28:00" -8.66 -53.2921 59.7036 23.2662 satB
-90.0 461.5500037070632 "2013-03-16 08:30:00" -8.66 -69.4959 59.7907 23.2935 satB
-90.0 541.6612155154731 "2013-03-16 08:32:00" -8.66 -81.5583 59.7996 23.3267 satB
-90.0 537.2519906912588 "2013-03-16 08:34:00" -8.66 -80.8944 59.9158 23.3518 satB
-90.0 678.0582842077764 "2013-03-16 08:36:00" -8.66 -102.0957 60.0033 23.377 satB
-90.0 702.9150484035696 "2013-03-16 08:38:00" -8.66 -105.8384 60.0841 23.4089 satB
-90.0 679.8202473737111 "2013-03-16 08:40:00" -8.66 -102.361 60.1499 23.4335 satB
-90.0 638.8640677593638 "2013-03-16 08:42:00" -8.66 -96.1942 60.2213 23.4606 satB
-90.0 694.897551479648 "2013-03-16 08:44:00" -8.66 -104.6312 60.2993 23.4871 satB
-90.0 659.9219517029345 "2013-03-16 08:46:00" -8.66 -99.3649 60.3902 23.512 satB
-90.0 581.5441450445771 "2013-03-16 08:48:00" -8.66 -87.5635 60.4614 23.5444 satB
-90.0 767.3572074513696 "2013-03-16 08:50:00" -8.66 -115.5415 60.5621 23.5707 satB
-90.0 792.2910118760541 "2013-03-16 08:52:00" -8.66 -119.2958 60.6128 23.5948 satB
-90.0 796.6404641088873 "2013-03-16 08:54:00" -8.66 -119.9507 60.6847 23.6214 satB
-90.0 1019.3557961545782 "2013-03-16 08:56:00" -8.66 -153.4851 60.7253 23.6459 satB
-90.0 1052.611273579324 "2013-03-16 08:58:00" -8.66 -158.4924 60.7824 23.6717 satB
-90.0 1563.2936832617681 "2013-03-16 09:00:00" -8.66 -235.3862 60.8388 23.6886 satB
-90.0 1207.3067249131025 "2013-03-16 09:02:00" -8.66 -181.785 60.8909 23.7138 satB
-90.0 1169.3059678725997 "2013-03-16 09:04:00" -8.66 -176.0632 60.9206 23.7417 satB
-90.0 1207.3067249131025 "2013-03-16 09:06:00" -8.66 -181.785 61.0059 23.7677 satB
-90.0 1280.5460811323958 "2013-03-16 09:08:00" -8.66 -192.8127 61.0546 23.7929 satB
-90.0 659.7406415090783 "2013-03-16 09:10:00" -8.66 -99.3376 61.1051 23.8181 satB
-90.0 1938.6230521813661 "2013-03-16 09:12:00" -8.66 -291.8998 61.1285 23.8392 satB
-90.0 1397.4779388969175 "2013-03-16 09:14:00" -11.9 -288.1658 61.1851 23.8649 satB
-90.0 264.3526902314282 "2013-03-16 09:16:00" -41.06 -173.6398 57.2646 22.7572 satA
-90.0 1059.6414402535754 "2013-03-16 09:16:00" -11.9 -218.5025 61.2574 23.8897 satB
-90.0 144.28095364878692 "2013-03-16 09:18:00" -41.06 -94.7708 57.4483 22.7977 satA
-90.0 973.1271924186642 "2013-03-16 09:18:00" -11.9 -200.6629 61.3159 23.9161 satB
-90.0 144.28095364878692 "2013-03-16 09:20:00" -41.06 -94.7708 57.6177 22.8269 satA
-90.0 739.9020524560781 "2013-03-16 09:20:00" -11.9 -152.5709 61.3432 23.9369 satB
-90.0 172.13887019680004 "2013-03-16 09:22:00" -37.82 -105.5526 57.7658 22.8656 satA
-90.0 594.7221670797588 "2013-03-16 09:22:00" -11.9 -122.6342 61.354 23.9647 satB
-90.0 211.6973814870544 "2013-03-16 09:24:00" -37.82 -129.8092 57.9367 22.8951 satA
-90.0 469.6776843364111 "2013-03-16 09:24:00" -15.14 -122.6697 61.3929 23.98 satB
-90.0 211.6973814870544 "2013-03-16 09:26:00" -37.82 -129.8092 58.0745 22.9355 satA
-90.0 470.5145641344235 "2013-03-16 09:26:00" -8.66 -70.8457 61.427 0.0085 satB
-90.0 220.23105158214247 "2013-03-16 09:28:00" -37.82 -135.0419 58.2377 22.9661 satA
-90.0 470.5145641344235 "2013-03-16 09:28:00" -8.66 -70.8457 61.4662 0.0331 satB
-90.0 198.96545295448942 "2013-03-16 09:30:00" -37.82 -122.0022 58.3466 22.9997 satA
-90.0 484.8590828015979 "2013-03-16 09:30:00" -36.34 -287.3157 61.4575 0.0558 satB
-90.0 221.6260678069095 "2013-03-16 09:32:00" -37.82 -135.8973 58.5264 23.0344 satA
-90.0 240.12234558902028 "2013-03-16 09:34:00" -37.82 -147.2389 58.6393 23.0655 satA
-90.0 266.6880882860043 "2013-03-16 09:34:00" -11.9 -54.9922 61.5989 0.0955 satB
-90.0 248.91401377477723 "2013-03-16 09:36:00" -37.82 -152.6298 58.8015 23.1007 satA
-90.0 290.85322145192936 "2013-03-16 09:36:00" -15.14 -75.9646 61.6807 0.126 satB
-90.0 246.633127999749 "2013-03-16 09:38:00" -37.82 -151.2312 58.915 23.1317 satA
-90.0 258.09466426509226 "2013-03-16 09:38:00" -11.9 -53.2202 61.6839 0.145 satB
-90.0 226.34521493060404 "2013-03-16 09:40:00" -37.82 -138.791 59.0362 23.1572 satA
-90.0 270.4028528458343 "2013-03-16 09:40:00" -11.9 -55.7582 61.7157 0.1714 satB
-90.0 233.99014492592846 "2013-03-16 09:42:00" -34.58 -132.8026 59.1459 23.1868 satA
-90.0 309.5737357474769 "2013-03-16 09:42:00" -11.9 -63.8354 61.7397 0.188 satB
-90.0 243.16984965357747 "2013-03-16 09:44:00" -34.58 -138.0126 59.2693 23.2218 satA
-90.0 337.0246819497189 "2013-03-16 09:44:00" -11.9 -69.4959 61.7787 0.2171 satB
-90.0 243.16984965357747 "2013-03-16 09:46:00" -34.58 -138.0126 59.3889 23.2592 satA
-90.0 258.09466426509226 "2013-03-16 09:46:00" -11.9 -53.2202 61.8092 0.2448 satB
-90.0 238.68289455579801 "2013-03-16 09:48:00" -34.58 -135.466 59.4641 23.2854 satA
-90.0 258.09466426509226 "2013-03-16 09:48:00" -11.9 -53.2202 61.8076 0.2737 satB
-90.0 340.42085960070756 "2013-03-16 09:50:00" -15.14 -88.9106 61.8352 0.29 satB
-90.0 348.683791771948 "2013-03-16 09:52:00" -15.14 -91.0687 61.8448 0.3139 satB
-90.0 89.90842434029732 "2013-03-16 09:54:00" -34.58 -51.0281 59.7643 23.3725 satA
-90.0 348.683791771948 "2013-03-16 09:54:00" -15.14 -91.0687 61.8913 0.3339 satB
-90.0 284.7907003454273 "2013-03-16 09:56:00" -15.14 -74.3812 61.9028 0.3553 satB
-90.0 249.53324735396467 "2013-03-16 09:58:00" -11.9 -51.4548 61.9073 0.3845 satB
